,No,Country,Continent,LifeExpect,GDPPC,MfgMn$,AgriMn$,CO2kt,HealthPC$,Pop_mn
162,163,Trinidad and Tobago,North America,74.228,15690.963095220537,3926.21,195.96,17195.3,1071.89624023,1.52
163,164,Tunisia,Africa,75.993,3477.84427052074,6000.49,4092.61,31045.0,189.74969482,12.05
164,165,Turkiye,Asia,77.832,9103.012396974635,139022.31,48701.84,398772.9,397.40911865,83.48
165,166,Turks and Caicos Islands,North America,75.326,27795.148560817084,6.24,4.32,6522.299999999999,500.88366699000005,0.04
166,167,Uganda,Africa,62.991,823.024732829946,5467.05,8110.81,5943.0,33.40487289,42.95
167,168,Ukraine,Europe,71.82731707317075,3661.45776367188,16601.83,13795.89,174599.9,246.9130249,44.39
168,169,United Arab Emirates,Asia,79.726,45376.17083904472,37064.62,3121.18,185645.7,1947.1307373,9.21
169,170,United Kingdom,Europe,81.40487804878049,42747.08046049601,248766.63,17271.15,345934.3,4265.20117188,66.84
170,171,United States,North America,78.78780487804877,65120.394662865256,2364316.2,179346.38,4817710.4,10661.02832031,328.33
171,172,Uruguay,South America,77.508,18098.361548608984,6433.55,4068.34,6806.7,1677.09790039,3.43
172,173,Uzbekistan,Asia,71.344,1795.2017684565726,10575.35,14698.22,117687.8,98.5874176,33.58
173,174,Vietnam,Asia,74.093,3491.091278597283,79534.52,39403.36,341716.8,173.65045166,95.78
174,175,West Bank and Gaza,Asia,75.241,3656.858271370109,1924.9,1208.6,69270.55,294.46008301,4.69
175,176,Zambia,Africa,62.793,1268.1209405624106,1582.41,666.81,7615.7,67.4577713,18.38
176,177,Zimbabwe,Africa,61.292,1421.8685964175797,3105.06,2143.76,10185.3,54.80850601,15.35
